text,label
Profesor mengajar dengan asal-asalan,negatif
Saya sangat tidak puas dengan pendidikan di sini,negatif
Fasilitas ini tidak membantu kami berkembang,negatif
Komunitas kampus sangat klik dan tidak welcoming,negatif
Pembelajaran collaborative sangat tidak efektif,negatif
Saya tidak merekomendasikan kampus ini,negatif
Prestasi akademik saya turun drastis,negatif
Dosen-dosen sangat demotivasi dan pesimis,negatif
Program alumni networking tidak ada,negatif
Kampus memberikan pengalaman belajar terburuk,negatif
Fasilitas kesehatan kampus tidak memadai,negatif
Beasiswa yang diberikan sangat sedikit,negatif
Pembelajaran sangat kaku dan tidak fleksibel,negatif
Kualitas instruktur sangat poor dan tidak qualified,negatif
Kesempatan untuk berkembang sangat terbatas,negatif
Mentoring program sangat tidak membantu,negatif
Kehidupan kampus sangat membosankan,negatif
Fasilitas penginapan mahasiswa sangat jelek,negatif
Program pengembangan diri sangat minim,negatif
Kampus tidak mendukung inovasi dan kreativitas,negatif
Sistem pembelajaran sangat ketinggalan zaman,negatif
Pengalaman di kampus mengecewakan harapan saya,negatif
Fasilitas transportation sangat buruk,negatif
Tidak ada peluang karir dari kampus ini,negatif
Dosen tidak accessible dan tidak supportive,negatif
Penelitian di kampus tidak ada dampak sosial,negatif
Sistem administrasi sangat kacau,negatif
Kehidupan mahasiswa sangat tidak beragam,negatif
Program volunteer sangat tidak ada,negatif
Perpustakaan tidak menyediakan akses ke journal,negatif
Kampus memberikan value yang buruk untuk investasi,negatif
Fasilitas untuk disabilitas sangat tidak accessible,negatif
Program kesehatan mental sangat tidak ada,negatif
Pembelajaran sangat sempit dan membatasi,negatif
Kampus ini menghasilkan lulusan yang tidak kompeten,negatif
Suasana akademis sangat tidak sehat,negatif
Pelatihan soft skills sangat tidak ada,negatif
Akomodasi untuk mahasiswa commuter sangat buruk,negatif
Kesempatan leadership sangat tertutup,negatif
Fasilitas gym dan olahraga sangat minimal,negatif
Program CSR kampus tidak ada dampak nyata,negatif
Saya sangat kecewa menjadi bagian dari kampus ini,negatif
Kurikulum kampus perlu perbaikan mendasar,netral
Fasilitas kampus cukup memadai,netral
Dosen mengajar dengan standar yang wajar,netral
Program akademik tersedia dengan berbagai pilihan,netral
Lingkungan kampus biasa saja,netral
Sistem pembelajaran ada kelebihan dan kekurangan,netral
Organisasi mahasiswa berjalan seperti biasa,netral
Fasilitas lab cukup untuk kebutuhan praktik,netral
Layanan akademik dapat diterima,netral
Kualitas pendidikan sesuai standar industri,netral
Pengalaman belajar di kampus cukup memuaskan,netral
Staf administrasi biasa responsif,netral
Prestasi mahasiswa cukup baik dalam kompetisi,netral
Karir alumni cukup baik di lapangan kerja,netral
Kampus memiliki area hijau yang cukup,netral
Program mentoring tersedia namun tidak wajib,netral
Fasilitas wifi cukup untuk kebutuhan sehari-hari,netral
Keamanan kampus standar dan terjaga,netral
Makanan di kantin cukup murah dan biasa,netral
Dosen tersedia untuk konsultasi pada jam tertentu,netral
Jadwal kuliah cukup konsisten,netral
Program magang tersedia dengan jumlah terbatas,netral
Infrastruktur kampus standar dan layak,netral
Perpustakaan buka dengan jam operasional normal,netral
Beasiswa tersedia namun tidak banyak,netral
Laboratorium memiliki peralatan standar,netral
Suasana kampus memungkinkan pembelajaran,netral
Akreditasi kampus standar internasional,netral
Program kesehatan mahasiswa dasar,netral
Seni dan budaya berkembang dengan biasa,netral
Fasilitas olahraga standar dan terawat,netral
Pembelajaran kombinasi teori dan praktik,netral
Hubungan antar mahasiswa cukup baik,netral
Toilet dan mushola cukup bersih,netral
Event-event kampus berjalan biasa saja,netral
Perpustakaan memiliki resources yang lumayan,netral
Sistem registrasi online cukup mudah,netral
Beasiswa tersedia untuk mahasiswa tertentu,netral
Ruang kelas cukup nyaman,netral
Jaringan alumni cukup kuat,netral
Lokasi kampus cukup strategis,netral
Panduan akademik cukup jelas,netral
Sistem penilaian cukup transparan,netral
Koneksi industri cukup membantu,netral
Kurikulum diperbarui secara berkala,netral
Program pertukaran pelajar ada untuk beberapa mahasiswa,netral
Fasilitas katering dengan harga yang terjangkau,netral
Bimbingan karir tersedia untuk mahasiswa,netral
Kampus memiliki komitmen lingkungan yang cukup,netral
Mahasiswa dapat kesempatan publikasi tertentu,netral
Infrastruktur digital cukup memadai,netral
Kemitraan dengan universitas luar negeri cukup,netral
Kampus ini memenuhi standar pendidikan nasional,netral
Suasana belajar cukup mendukung,netral
Profesor mengajar dengan profesional,netral
Saya cukup puas dengan pendidikan di sini,netral
Fasilitas membantu kami untuk berkembang,netral
Komunitas kampus cukup ramah dan supportif,netral
Pembelajaran collaborative tersedia dengan baik,netral
Saya ragu merekomendasikan atau tidak kampus ini,netral
Prestasi akademik saya stabil dan konsisten,netral
Dosen-dosen memiliki kompetensi yang baik,netral
Program alumni networking ada dan cukup aktif,netral
Kampus memberikan pengalaman belajar standar,netral
Fasilitas kesehatan kampus memadai,netral
Beasiswa yang diberikan cukup jumlahnya,netral
Pembelajaran cukup fleksibel sesuai kebutuhan,netral
Kualitas instruktur cukup berkualitas,netral
Kesempatan untuk berkembang cukup tersedia,netral
Mentoring program tersedia untuk semua mahasiswa,netral
Kehidupan kampus cukup menyenangkan,netral
Fasilitas penginapan mahasiswa memadai,netral
Program pengembangan diri tersedia cukup banyak,netral
Kampus mendukung inovasi dalam ukuran wajar,netral
Sistem pembelajaran modern namun masih tradisional,netral
Pengalaman di kampus cukup berpengaruh positif,netral
Fasilitas transportation memadai untuk kebutuhan,netral
Peluang karir dari kampus cukup tersedia,netral
Dosen cukup accessible dan supportive,netral
Penelitian di kampus memberikan dampak tertentu,netral
Sistem administrasi cukup efisien,netral
Kehidupan mahasiswa cukup beragam dan inklusif,netral
Program volunteer tersedia untuk mahasiswa,netral
Perpustakaan menyediakan akses jurnal standar,netral
Kampus memberikan value yang wajar untuk investasi,netral
Fasilitas untuk disabilitas cukup accessible,netral
Program kesehatan mental tersedia cukup,netral
Pembelajaran cukup luas dan memberdayakan,netral
Kampus menghasilkan lulusan yang kompeten,netral
Suasana akademis cukup sehat dan baik,netral
Pelatihan soft skills tersedia dengan cukup,netral
Akomodasi untuk mahasiswa commuter memadai,netral
Kesempatan leadership cukup terbuka,netral
Fasilitas gym dan olahraga cukup lengkap,netral
Program CSR kampus memberikan dampak sosial,netral
Saya cukup puas menjadi bagian dari kampus ini,netral
Kampus memiliki potensi yang bagus untuk berkembang,netral
"sistem akademik sangat membantu","positif"
"pelayanan administrasi cepat dan responsif","positif"
"dosen sangat kompeten dan ramah","positif"
"fasilitas kampus lengkap dan nyaman","positif"
"website mudah digunakan","positif"
"terima kasih atas pelayanannya","positif"
"aplikasi sangat bermanfaat","positif"
"layanan bagus dan memuaskan","positif"
"sangat terbantu dengan sistem ini","positif"
"proses cepat dan mudah","positif"
"Nilai dari dosen sangat adil dan tranparan","positif"
"Sistem pembelajaran online sangat efektif","positif"
"Staff administrasi sangat ramah dan membantu","positif"
"Laboratorium lengkap dengan peralatan modern","positif"
"Beasiswa tersedia dengan proses yang jelas","positif"
"Dosen luar biasa, penjelasannya very clear dan inspiring","positif"
"Kantin kampus nyaman dengan harga terjangkau","positif"
"Layanan perpustakaan sangat responsif","positif"
"Program magang membantu banget untuk karir","positif"
"Fasilitas gym dan olahraga sangat menunjang","positif"
"krs error terus tidak bisa diakses","negatif"
"pelayanan lambat dan tidak responsif","negatif"
"dosen tidak masuk tanpa kabar","negatif"
"fasilitas rusak tidak diperbaiki","negatif"
"aplikasi sering crash","negatif"
"kecewa dengan pelayanannya","negatif"
"sistem susah digunakan","negatif"
"tidak ada perkembangan","negatif"
"komplain tidak ditanggapi","negatif"
"buruk sekali layanannya","negatif"
"Dosen sering mangkir tanpa pemberitahuan","negatif"
"Website sangat lambat saat akses bersamaan","negatif"
"Staff administrasi tidak terlatih dan bingung","negatif"
"Laboratorium tidak ada perawatan","negatif"
"Beasiswa tidak transparan dan banyak penyimpangan","negatif"
"Dosen tidak ada metodologi mengajar sama sekali","negatif"
"Kantin mahal dengan porsi kecil","negatif"
"Perpustakaan buku sudah ketinggalan jaman","negatif"
"Program magang tidak ada","negatif"
"Fasilitas olahraga tidak terawat dan berbahaya","negatif"
"Fasilitas AC semua rusak","negatif"
"Sistem online sangat membosankan dan tidak efektif","negatif"
"Proses registrasi sangat berbelit dan membingungkan","negatif"
"WiFi kampus sangat lambat sering terputus","negatif"
"Ruang kuliah sempit dan pengap","negatif"
"sistem berjalan normal","netral"
"pelayanan standar saja","netral"
"informasi tersedia","netral"
"proses sesuai prosedur","netral"
"aplikasi bisa digunakan","netral"
"tidak ada masalah berarti","netral"
"masih dalam tahap adaptasi","netral"
"perlu evaluasi lebih lanjut","netral"
"semoga kedepan lebih baik","netral"
"cukup membantu","netral"
"Sistem berjalan sesuai harapan","netral"
"Proses pendaftaran standar dan normal","netral"
"Fasilitas cukup untuk kebutuhan belajar","netral"
"Dosen mengajar dengan metode konvensional","netral"
"Administrasi bekerja sesuai aturan","netral"
"Perpustakaan tersedia buku dasar","netral"
"Kantin tersedia dengan berbagai pilihan","netral"
"Program magang ada namun terbatas","netral"
"Fasilitas olahraga tersedia namun terbatas","netral"
"Layanan internet stabil pada jam normal","netral"
"Sinyal WiFi di gedung baru sangat kencang dan stabil","positif"
"Ruang baca perpustakaan selalu bersih dan tenang","positif"
"Pelayanan beasiswa tepat waktu tidak pernah molor","positif"
"Transkrip nilai bisa diurus online tanpa ke kampus","positif"
"Acara ospek membangun karakter dan kekeluargaan","positif"
"Ruang diskusi di lantai 3 sangat representatif","positif"
"Pak Satpam gerbang sangat ramah dan informatif","positif"
"Jam operasional perpustakaan sampai malam sangat membantu mahasiswa pekerja","positif"
"Kurikulum baru sangat relevan dengan industri 4.0","positif"
"Banyak kegiatan unit kegiatan mahasiswa yang gratis dan bermanfaat","positif"
"Lahan parkir luas dan aman dari resiko pencurian","positif"
"Dosen pembimbing skripsi sangat suportif dan cepat merespon email","positif"
"Metode pembelajaran student centered learning membuat saya lebih paham","positif"
"Koperasi mahasiswa menjual alat tulis dengan harga miring","positif"
"UKM Seni memiliki peralatan musik yang lengkap dan modern","positif"
"Pembayaran UKT bisa dicicil dan sangat meringankan","positif"
"Klinik kampus sigap menangani mahasiswa yang pingsan saat upacara","positif"
"Lingkungan kampus hijau dan asri bebas polusi","positif"
"Portal jurnal internasional mudah diakses dari rumah","positif"
"Staff cleaning service rajin membersihkan toilet tiap jam","positif"
"Pembelajaran praktikum di laboratorium sangat aplikatif","positif"
"Kantin Kejujuran melatih integritas mahasiswa","positif"
"Kebijakan cuti akademik mudah dipahami dan diproses","positif"
"Ada banyak colokan listrik di setiap sudut koridor","positif"
"Dosen tamu yang diundang selalu expert di bidangnya","positif"
"Program pertukaran pelajar ke luar negeri sangat terbuka","positif"
"Tidak ada praktik perpeloncoan dalam kegiatan himpunan","positif"
"Proses legalisir ijazah hanya butuh waktu satu jam","positif"
"Sistem Informasi Akademik mobile friendly tampilannya","positif"
"Adanya bank sampah di kampus membuat lingkungan bersih","positif"
"Bisa akses materi kuliah dari dosen secara terbuka","positif"
"Kelas pengganti selalu dijadwalkan ulang dengan kesepakatan bersama","positif"
"Adanya konseling psikologi gratis sangat membantu kesehatan mental","positif"
"Fasilitas ruang laktasi untuk mahasiswi ibu menyusui tersedia","positif"
"Pengumuman jadwal ujian selalu jelas dan tidak mendadak","positif"
"Petugas TU memahami prosedur surat menyurat dengan baik","positif"
"Tersedia shuttle bus gratis dari stasiun menuju kampus","positif"
"Lift di gedung rektorat selalu berfungsi normal","positif"
"Jam malam kampus tidak mengganggu kegiatan organisasi","positif"
"Bisa minjam laptop di perpustakaan untuk mengerjakan tugas","positif"
"Kantin menyediakan opsi menu vegetarian dan vegan","positif"
"Lapangan basket selalu dicat ulang setiap tahun","positif"
"Pembina UKM olahraga sangat disiplin melatih","positif"
"Adanya etalase prestasi memotivasi mahasiswa untuk berkompetisi","positif"
"Jadwal kuliah bisa disesuaikan dengan semester pendek","positif"
"Dosen killer tapi penjelasannya mudah dicerna","positif"
"Tukang fotokopi di bawah tangga darurat cepat kerjanya","positif"
"Tempat sampah organik dan non organik tersedia di mana-mana","positif"
"Pihak rektorat terbuka mendengar kritik via media sosial","positif"
"Tidak ada pungutan liar saat daftar wisuda","positif"
"Sirkulasi udara di gedung serba guna sangat baik","positif"
"Area hotspot gratis merata sampai ke taman belakang","positif"
"KRS diubah manual karena sistem down","netral"
"Ruangan kelas ada yang dingin ada yang pengap","netral"
"Beberapa dosen masih menggunakan slide presentasi lama","netral"
"Ada perbaikan jalan setapak di depan gerbang","netral"
"Jumlah kursi di perpustakaan kadang kurang saat ujian","netral"
"Terkadang suara bising dari proyek pembangunan gedung","netral"
"Metode penilaian sudah dijelaskan di RPS","netral"
"Menu di kantin itu-itu saja tidak ada perubahan","netral"
"Jam kuliah teori pagi hari cukup berat","netral"
"Pendaftaran proposal PKM dibuka sesuai kalender akademik","netral"
"Kartu perpustakaan bisa digunakan untuk akses masuk kampus","netral"
"Dosen memberi tugas sesuai bobot SKS","netral"
"Air minum galon di koridor harus isi ulang sendiri","netral"
"Warna cat gedung krem standar seperti kampus lain","netral"
"Penggunaan helm di area kampus sudah disosialisasikan","netral"
"Bisa mengajukan cuti dengan alasan medis","netral"
"Tidak ada hukuman bagi yang terlambat kurang dari 10 menit","netral"
"Tersedia tempat charger HP di lobi utama","netral"
"Staff keamanan sering berkeliling tiap 2 jam","netral"
"Formulir bisa diunduh di website resmi","netral"
"Biaya praktikum dibayarkan terpisah dari UKT","netral"
"Mahasiswa diizinkan makan di kelas selama jam istirahat","netral"
"Tersedia layanan penitipan helm dan jas hujan","netral"
"Ujian susulan hanya untuk sakit yang ada surat dokter","netral"
"Ruang baca memiliki AC dan non AC","netral"
"Dosen memberi tugas kelompok dan individu seimbang","netral"
"Bisa konsultasi akademik tanpa janji temu dulu","netral"
"Ada larangan merokok di seluruh area gedung","netral"
"Papan pengumuman manual masih digunakan selain digital","netral"
"KRS diakses sesuai jadwal fakultas masing-masing","netral"
"Kantin tutup tepat jam enam sore","netral"
"Jadwal wisuda disesuaikan dengan kapasitas gedung","netral"
"Bisa mengajukan pindah kelas jika ada kuota","netral"
"Mahasiswa baru wajib ikut tes TOEFL","netral"
"Ruang kelas memakai proyektor dan whiteboard","netral"
"Bisa meminjam bola di sekretariat UKM","netral"
"Parkir mobil dikenakan biaya flat per semester","netral"
"Batas waktu pembayaran UKT diperpanjang seminggu","netral"
"Toilet laki-laki dan perempuan terpisah lantai","netral"
"Kelas karyawan diadakan di akhir pekan","netral"
"Penjaga perpus hanya diam melihat buku berantakan","netral"
"Alat olahraga di fitness center sudah berkarat","netral"
"Portal SSO sering log out sendiri padahal koneksi aman","negatif"
"Sistem presensi wajah sulit mendeteksi yang berkacamata","negatif"
"Tugas menumpuk di akhir semester tanpa koordinasi","negatif"
"Tidak ada pemberitahuan saat dosen berhalangan hadir","negatif"
"Kursi kuliah banyak yang patah sandarannya","negatif"
"Proses banding nilai sangat sulit dan birokratis","negatif"
"Alat pemadam kebakaran terlihat kotor dan tidak terawat","negatif"
"Tukang fotokopi sering mengembalikan uang kembalian kurang","negatif"
"Saluran air di depan masjid kampus mampet dan bau","negatif"
"Pihak TU menolak mengurus surat rekomendasi beasiswa","negatif"
"Tidak ada transparansi aliran dana himpunan mahasiswa","negatif"
"Dosen sering memberikan nilai tanpa mengembalikan kertas ujian","negatif"
"Sulit mencari tempat sampah di area belakang gedung","negatif"
"Pengumuman penting sering hanya diinfokan via grup WA tidak resmi","negatif"
"Jadwal kuliah bentrok dengan jadwal praktikum tiap semester","negatif"
"Kabel LAN di lab komputer banyak yang putus konektornya","negatif"
"Mahasiswa difabel kesulitan naik karena ramp curam","negatif"
"Perkelahian antar fakultas terjadi saat acara olahraga","negatif"
"Pelatih UKM tidak hadir tanpa kabar selama sebulan","negatif"
"Vending machine minuman sering menelan uang koin","negatif"
"Tidak ada tempat sampah khusus limbah B3 praktikum kimia","negatif"
"Pihak keamanan tidak tegas menindak parkir liar sembarangan","negatif"
"Toilet mampet dan bau pesing tidak kunjung diperbaiki","negatif"
"Ruangan sekretariat UKM bocor saat hujan deras","negatif"
"Kartu mahasiswa baru sering gagal scan di gerbang","negatif"
"Dosen favorit pindah kampus secara mendadak","negatif"
"Plagiarisme skripsi di kalangan senior tidak ditindak","negatif"
"Perpustakaan sering dijadikan tempat nongkrong berisik","negatif"
"Stiker dan coretan vandalisme merusak keindahan koridor","negatif"
"Mahasiswa tingkat akhir susah dihubungi admin jurusan","negatif"
"Kebijakan potongan UKT tidak berlaku untuk mahasiswa ekstensi","negatif"
"Alat scan KTM di perpustakaan rusak berbulan-bulan","negatif"
"Jalan menuju kampus banjir saat hujan sedikit saja","negatif"
"Pencahayaan di ruang baca terlalu redup","negatif"
"Dosen galak tetapi tidak memberi materi jelas","negatif"
"Penyusunan jadwal ujian akhir semester sangat berantakan","negatif"
"Website resmi fakultas tidak update sejak 2020","negatif"
"Birokrasi surat izin kegiatan kemahasiswaan sangat lama","negatif"
"Tidak ada tanggapan saat komplain AC via hotline","negatif"
"Mesin parkir otomatis sering error mengeluarkan karcis","negatif"
"Kurangnya etalase informasi lowongan kerja di papan karier","negatif"
"Mahasiswa dipersulit saat ingin pindah program studi","negatif"
"Tukang kebun merokok di dekat tanaman dan membuang puntung","negatif"
"Pemotongan internet gratis di malam hari sangat merugikan","negatif"
"Dosen pembimbing magang tidak pernah membalas laporan","negatif"
"Proses pengajuan judul skripsi terlalu rumit dan berbelit","negatif"
"UKM terpaksa bubar karena tidak ada dana pembinaan","negatif"
"Kaca jendela ruang kelas pecah dibiarkan berbahaya","negatif"
"Pengumuman beasiswa selalu mendadak dengan deadline singkat","negatif"
"Software bajakan masih dipakai di lab komputer","negatif"
"Banyak kecoa berkeliaran di lantai ruang sidang skripsi","negatif"
"Sistem informasi akademik lemot parah saat jam KRS","negatif"
"Dosen merokok di ruangannya dan baunya menyengat ke kelas","negatif"
"Plafon ruang teater fakultas hampir ambruk","negatif"
"Kelas mata kuliah wajib penuh sehingga banyak yang tidak kebagian","negatif"
"Pengisian KRS manual disuruh bolak-balik ke jurusan","negatif"
"Tidak ada bantuan kuota internet untuk mahasiswa tidak mampu","negatif"
"Kebersihan mushola sangat buruk sajadahnya hitam","negatif"
"Dosen menunda-nunda jadwal bimbingan tanpa alasan jelas","negatif"
"Suara bising dari proyek konstruksi mengganggu ujian lisan","negatif"
"Lift khusus difabel tidak pernah berfungsi","negatif"
"Mahasiswa asing diperlakukan lebih istimewa dari lokal","negatif"
"Kipas angin di kantin penuh debu tebal","negatif"
"UKM penelitian tidak pernah menghasilkan jurnal apapun","negatif"
"Alat pemadam kebakaran di laboratorium kimia ternyata kosong","negatif"
"Staff keuangan sering salah hitung jumlah UKT","negatif"
"Toilet kunci pintunya rusak tidak bisa dikunci dari dalam","negatif"
"Penerangan jalan di luar area gerbang sangat gelap","negatif"
"Buku di perpustakaan banyak yang halamannya disobek","negatif"
"Acara wisuda selalu molor sampai larut malam","negatif"
"WiFi hanya bisa diakses dengan password yang selalu diganti mendadak","negatif"
"Kursi roda yang disediakan kampus hilang entah kemana","negatif"
"Tidak ada kanopi sehingga mahasiswa kehujanan saat pindah gedung","negatif"
"Pembina UKM pilih kasih dalam memberikan rekomendasi prestasi","negatif"
"Birokrasi pengajuan seminar proposal memakan waktu dua bulan","negatif"
"Sound system di ruang seminar selalu berdengung","negatif"
"Fotokopi jurnal untuk skripsi dihitung mahal per lembar","negatif"
"Kuliah umum dihadiri pembicara yang tidak inspiratif","negatif"
"Kelas pagi jam 7 sering dimulai telat 30 menit","negatif"
"Jas almamater baru kualitasnya menurun mudah luntur","negatif"
"Transkrip nilai sementara tidak valid karena bug sistem","negatif"
"Parkir sepeda motor di basement banjir saat musim hujan","negatif"
"Antrian lift di gedung fakultas terlalu panjang saat jam sibuk","negatif"
"Tidak ada laporan pertanggungjawaban kegiatan kemahasiswaan","negatif"
"Kursi di ruang tunggu dosen keras dan tidak nyaman","negatif"
"Koneksi listrik di area belakang sering mati mendadak","negatif"
"Mahasiswa yang berprestasi tidak mendapat apresiasi kampus","negatif"
"Proses daftar ulang terlalu berbelit dengan banyak loket","negatif"
"Kelas kotor setelah dipakai rombongan sebelumnya","negatif"
"Ada praktik jual beli mata kuliah di kalangan mahasiswa","negatif"
